-1.000000000000000000e+01, 3.720075976020836120e-44, 9.865662539415814339e-42, inf, inf
-9.797979797979797567e+00, 2.030263899036134390e-42, 4.954364829973821290e-40, 9.865662539415814339e-42, 9.865662539415814339e-42
-9.595959595959595134e+00, 1.021184422823458697e-40, 2.292666032088579929e-38, 4.954364829973821290e-40, 4.954364829973821290e-40
-9.393939393939394478e+00, 4.733766991956213395e-39, 9.776409223106006885e-37, 2.292666032088579929e-38, 2.292666032088579929e-38
-9.191919191919192045e+00, 2.022369836203608143e-37, 3.841473972671802455e-35, 9.776409223106006885e-37, 9.776409223106006885e-37
-8.989898989898989612e+00, 7.962790463765431638e-36, 1.390881101271721932e-33, 3.841473972671802455e-35, 3.841473972671802455e-35
-8.787878787878787179e+00, 2.889488715287603285e-34, 4.640328718574007376e-32, 1.390881101271721932e-33, 1.390881101271721932e-33
-8.585858585858586522e+00, 9.663350323193358954e-33, 1.426482661605881034e-30, 4.640328718574007376e-32, 4.640328718574007376e-32
-8.383838383838384090e+00, 2.978416657991295042e-31, 4.040498101668205213e-29, 1.426482661605881034e-30, 1.426482661605881034e-30
-8.181818181818181657e+00, 8.460464093411682164e-30, 1.054495709033561963e-27, 4.040498101668205213e-29, 4.040498101668205213e-29
-7.979797979797979224e+00, 2.214899002618084769e-28, 2.535631691072213754e-26, 1.054495709033561963e-27, 1.054495709033561963e-27
-7.777777777777777679e+00, 5.343978165054147780e-27, 5.617562574091530149e-25, 2.535631691072213754e-26, 2.535631691072213754e-26
-7.575757575757576134e+00, 1.188300907729635758e-25, 1.146615745596093296e-23, 5.617562574091530149e-25, 5.617562574091530149e-25
-7.373737373737373701e+00, 2.435225536421641627e-24, 2.156168642114936052e-22, 1.146615745596093296e-23, 1.146615745596093296e-23
-7.171717171717171269e+00, 4.599418800339013504e-23, 3.735318330237290370e-21, 2.156168642114936052e-22, 2.156168642114936052e-22
-6.969696969696969724e+00, 8.006039516876894963e-22, 5.961235288016258039e-20, 3.735318330237290370e-21, 3.735318330237290370e-21
